CB_m1_0h	CB_m2_0h	CB_m3_0h	CB_m4_6h_flag	CB_m5_6h_flag	CB_m6_6h_flag	CB_m7_6h_aCD3	CB_m8_6h_aCD3	CB_m9_6h_aCD3	CB_m10_24h_flag	CB_m11_24h_flag	CB_m12_24h_flag	CB_m13_24h_aCD3	CB_m14_24h_aCD3	CB_m15_24h_aCD3
ID=fig|208479.6.peg.970;Name=Ribonucleotide reductase of class III (anaerobic)%2C large subunit (EC 1.17.4.2);Ontology_term=KEGG_ENZYME:1.17.4.2	30	134	112	46	61	89	116	30	59	170	101	134	126	100	72
ID=fig|208479.6.peg.971;Name=hypothetical protein	10	46	36	22	12	10	26	14	24	37	30	54	29	32	22
ID=fig|208479.6.peg.972;Name=suppressor of fused homolog	2	16	6	3	2	4	10	4	8	18	9	17	19	8	8
ID=fig|208479.6.peg.973;Name=Uncharacterized UPF0750 membrane protein	12	31	22	8	40	28	25	8	10	48	39	52	43	44	14
ID=fig|208479.6.peg.974;Name=N-Acetyl-D-glucosamine ABC transport system%2C permease protein 1	2	5	2	2	7	6	20	5	10	9	0	3	8	6	10
ID=fig|208479.6.peg.975;Name=Glycerol-3-phosphate ABC transporter%2C permease protein UgpE (TC 3.A.1.1.3)	8	11	4	2	7	10	12	9	12	10	7	6	15	4	8
ID=fig|208479.6.peg.976;Name=Glycerol-3-phosphate ABC transporter%2C periplasmic glycerol-3-phosphate-binding protein (TC 3.A.1.1.3)	8	24	22	18	12	21	39	20	10	24	13	23	33	27	29
ID=fig|208479.6.peg.977;Name=hypothetical protein	4	16	7	2	15	7	32	6	14	20	13	14	20	13	19
ID=fig|208479.6.peg.978;Name=hypothetical protein	24	60	61	30	31	36	47	34	17	56	33	65	64	80	53
ID=fig|208479.6.peg.979;Name=hypothetical protein	4	6	8	2	8	6	24	14	7	8	8	22	24	16	13
ID=fig|208479.6.peg.980;Name=Probable Hsp20-family chaperone	29	44	28	237	206	234	3206	495	367	71	14	30	693	57	103
ID=fig|208479.6.peg.981;Name=Probable Hsp20-family chaperone	44	60	44	337	354	390	4918	771	703	79	36	67	728	55	152
ID=fig|208479.6.peg.982;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID=fig|208479.6.peg.983;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ID=fig|208479.6.peg.984;Name=hypothetical protein	86	22	25	16	18	8	44	12	10	51	38	50	53	62	18
ID=fig|208479.6.peg.985;Name=hypothetical protein	1	2	1	0	0	0	2	0	1	2	4	2	4	2	0
ID=fig|208479.6.peg.986;Name=hypothetical protein	17	28	18	16	32	36	28	28	27	39	20	46	51	28	20
ID=fig|208479.6.peg.987;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.988;Name=Uncharacterized UPF0750 membrane protein	0	29	19	12	29	10	18	4	10	29	6	26	34	8	6
ID=fig|208479.6.peg.989;Name=Cytoplasmic copper homeostasis protein CutC	6	25	20	8	27	12	10	14	13	34	10	24	37	14	12
ID=fig|208479.6.peg.990;Name=Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	36	36	25	21	56	24	46	22	33	29	22	40	107	28	32
ID=fig|208479.6.peg.991;Name=glycosylasparaginase	2	2	4	7	6	2	4	4	2	2	0	8	8	6	0
ID=fig|208479.6.peg.992;Name=Uncharacterized protein EF_1161	0	2	2	6	2	4	0	6	2	0	1	8	4	0	0
ID=fig|208479.6.peg.993;Name=PTS system%2C cellobiose-specific IIC component (EC 2.7.1.69);Ontology_term=KEGG_ENZYME:2.7.1.69	2	15	8	6	11	2	8	2	16	6	9	14	10	18	4
ID=fig|208479.6.peg.994;Name=PTS system%2C cellobiose-specific IIB component (EC 2.7.1.69);Ontology_term=KEGG_ENZYME:2.7.1.69	4	3	8	10	10	6	6	0	2	10	2	14	6	8	0
ID=fig|208479.6.peg.995;Name=PTS system%2C cellobiose-specific IIA component (EC 2.7.1.69);Ontology_term=KEGG_ENZYME:2.7.1.69	0	0	2	0	0	0	0	0	0	4	0	4	2	2	0
ID=fig|208479.6.peg.996;Name=Transcriptional antiterminator of lichenan operon%2C BglG family / PTS system%2C cellobiose-specific IIA component (EC 2.7.1.69);Ontology_term=KEGG_ENZYME:2.7.1.69	38	52	36	29	41	27	40	34	20	40	18	54	67	44	26
ID=fig|208479.6.peg.997;Name=Outer surface protein of unknown function%2C cellobiose operon	42	50	37	22	42	27	67	20	34	46	45	88	60	42	48
ID=fig|208479.6.peg.998;Name=hypothetical protein	16	10	9	9	15	2	17	6	6	20	13	12	13	20	8
ID=fig|208479.6.peg.999;Name=tRNA(Cytosine32)-2-thiocytidine synthetase	8	8	6	2	8	10	8	2	4	20	12	12	20	10	6
ID=fig|208479.6.peg.1000;Name=hypothetical protein	10	17	20	12	20	11	18	27	12	14	8	33	11	19	9
ID=fig|208479.6.peg.1001;Name=hypothetical protein	20	117	72	36	67	49	85	27	46	99	49	85	70	36	43
ID=fig|208479.6.peg.1002;Name=FIG00532502: hypothetical protein	18	71	44	28	71	28	38	12	24	103	23	48	75	33	42
ID=fig|208479.6.peg.1003;Name=hypothetical protein	3	8	5	6	2	1	6	2	7	13	7	15	15	6	2
ID=fig|208479.6.peg.1004;Name=Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16);Ontology_term=KEGG_ENZYME:2.6.1.16	35	147	102	115	150	115	134	50	86	214	137	258	262	168	85
ID=fig|208479.6.peg.1005;Name=hypothetical protein	118	112	33	63	42	55	68	30	80	98	104	106	147	130	43
ID=fig|208479.6.peg.1006;Name=Cytidylate kinase (EC 2.7.4.25);Ontology_term=KEGG_ENZYME:2.7.4.25	168	255	202	320	601	504	994	708	498	215	124	501	184	360	128
ID=fig|208479.6.peg.1007;Name=Ribosomal large subunit pseudouridine synthase D (EC 5.4.99.23);Ontology_term=KEGG_ENZYME:5.4.99.23	13	28	18	12	25	10	27	8	6	34	20	12	44	6	10
ID=fig|208479.6.peg.1008;Name=Lipoprotein signal peptidase (EC 3.4.23.36);Ontology_term=KEGG_ENZYME:3.4.23.36	15	32	9	18	28	10	7	2	11	39	22	38	32	16	10
ID=fig|208479.6.peg.1009;Name=3-dehydroquinate synthase (EC 4.2.3.4);Ontology_term=KEGG_ENZYME:4.2.3.4	28	40	27	10	70	33	24	8	17	85	39	52	46	28	16
ID=fig|208479.6.peg.1010;Name=SepF%2C FtsZ-interacting protein related to cell division	29	52	60	16	72	21	60	6	40	154	77	116	109	43	48
ID=fig|208479.6.peg.1011;Name=UPF0001 protein YggS	14	22	18	10	21	16	25	3	9	53	34	66	41	31	28
ID=fig|208479.6.peg.1012;Name=Chromosome partition protein smc	40	28	18	16	64	22	48	10	17	78	32	65	58	44	23
ID=fig|208479.6.peg.1013;Name=FIG00515532: hypothetical protein	90	177	137	122	172	134	255	79	200	380	259	389	216	164	121
ID=fig|208479.6.peg.1014;Name=D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4);Ontology_term=KEGG_ENZYME:3.4.16.4	186	376	241	87	224	104	182	66	83	394	188	386	310	208	148
ID=fig|208479.6.peg.1015;Name=Methylglyoxal synthase (EC 4.2.3.3);Ontology_term=KEGG_ENZYME:4.2.3.3	117	223	204	64	156	76	151	40	91	297	136	231	214	200	115
ID=fig|208479.6.peg.1016;Name=Cell division protein FtsW	226	569	439	212	545	280	406	116	228	792	403	675	551	510	255
ID=fig|208479.6.peg.1017;Name=Cell division topological specificity factor MinE	69	134	111	65	154	70	110	38	70	254	113	269	128	118	63
ID=fig|208479.6.peg.1018;Name=Septum site-determining protein MinD	330	585	489	226	621	271	442	148	238	928	454	1036	646	617	256
ID=fig|208479.6.peg.1019;Name=Septum site-determining protein MinC	46	92	65	22	84	44	62	14	24	107	42	89	82	64	32
ID=fig|208479.6.peg.1020;Name=Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129) @ Penicillin-binding protein 2 (PBP-2);Ontology_term=KEGG_ENZYME:2.4.1.129	28	117	62	46	159	42	80	34	35	131	98	90	110	60	57
ID=fig|208479.6.peg.1021;Name=Rod shape-determining protein MreD	0	7	6	4	16	6	20	4	4	13	14	12	28	4	3
ID=fig|208479.6.peg.1022;Name=Rod shape-determining protein MreC	10	34	20	14	58	16	35	6	13	44	29	42	45	22	16
ID=fig|208479.6.peg.1023;Name=UPF0758 family protein	16	38	27	17	41	16	32	2	19	63	31	40	58	24	14
ID=fig|208479.6.peg.1024;Name=FIG00524928: hypothetical protein	10	19	11	7	22	6	15	2	4	25	19	15	32	2	10
ID=fig|208479.6.peg.1025;Name=Aluminum resistance protein	10	46	18	16	42	4	38	12	6	44	65	31	30	16	13
ID=fig|208479.6.peg.1026;Name=tRNA dimethylallyltransferase (EC 2.5.1.75);Ontology_term=KEGG_ENZYME:2.5.1.75	5	8	8	3	30	2	13	2	8	16	2	21	18	8	8
ID=fig|208479.6.peg.1027;Name=DNA mismatch repair protein MutL	16	35	18	25	82	12	43	12	8	34	20	16	66	24	10
ID=fig|208479.6.peg.1028;Name=hypothetical protein	17	27	12	22	80	12	41	6	4	32	18	24	36	20	8
ID=fig|208479.6.peg.1029;Name=16S rRNA processing protein RimM	10	5	4	4	33	0	20	2	0	10	4	4	10	4	0
ID=fig|208479.6.peg.1030;Name=KH domain RNA binding protein YlqC	92	125	74	115	537	75	286	21	79	136	233	116	270	70	77
ID=fig|208479.6.peg.1031;Name=SSU ribosomal protein S16p	44	132	54	127	513	83	338	29	87	125	275	102	339	48	111
ID=fig|208479.6.peg.1032;Name=Signal recognition particle protein Ffh	63	57	28	54	195	56	60	13	31	64	64	40	117	22	36
ID=fig|208479.6.peg.1033;Name=Signal recognition particle associated protein	15	9	8	4	56	10	26	9	11	7	36	14	67	6	8
ID=fig|208479.6.peg.1034;Name=Transcriptional regulator%2C MerR family	0	6	9	8	10	14	18	14	6	13	0	10	20	4	6
ID=fig|208479.6.peg.1035;Name=hypothetical protein	26	31	2	8	13	9	21	8	4	34	28	16	26	12	10
ID=fig|208479.6.peg.1036;Name=Citrate synthase (si) (EC 2.3.3.1);Ontology_term=KEGG_ENZYME:2.3.3.1	26	143	96	70	101	73	166	60	52	281	111	144	206	74	89
ID=fig|208479.6.peg.1037;Name=FIG01032090: hypothetical protein	4	24	12	6	14	8	35	6	16	26	26	25	38	8	22
ID=fig|208479.6.peg.1038;Name=FIG01032145: hypothetical protein	8	48	58	24	74	42	70	24	26	66	27	55	56	24	32
ID=fig|208479.6.peg.1039;Name=CBSS-293826.4.peg.2064: hypothetical protein	4	16	6	4	6	3	10	4	8	12	4	13	20	6	6
ID=fig|208479.6.peg.1040;Name=Chromosome partition protein smc	10	34	19	10	24	7	16	8	12	36	24	24	60	30	28
ID=fig|208479.6.peg.1041;Name=hypothetical protein	8	30	26	2	16	12	23	11	15	33	24	23	38	15	13
ID=fig|208479.6.peg.1042;Name=hypothetical protein	27	55	39	12	8	48	51	27	26	62	39	85	76	61	62
ID=fig|208479.6.peg.1043;Name=Transcriptional regulator%2C MerR family	9	35	20	6	15	8	24	10	6	27	23	43	31	22	19
ID=fig|208479.6.peg.1044;Name=Uncharacterized di-Fe4-S4 cluster-containing protein MA_0367	6	81	59	32	39	24	34	28	23	74	51	63	88	39	31
ID=fig|208479.6.peg.1045;Name=hypothetical protein	31	59	39	26	34	22	28	20	30	102	55	70	78	55	56
ID=fig|208479.6.peg.1046;Name=Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase) (EC 3.2.1.17);Ontology_term=KEGG_ENZYME:3.2.1.17	5	12	14	2	8	2	6	2	8	14	13	26	14	8	10
ID=fig|208479.6.peg.1047;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.1048;Name=Carbon starvation protein A	16	54	56	4	14	10	16	12	0	110	142	143	68	52	13
ID=fig|208479.6.peg.1049;Name=Uroporphyrinogen-III methyltransferase (EC 2.1.1.107) / Uroporphyrinogen-III synthase (EC 4.2.1.75);Ontology_term=KEGG_ENZYME:2.1.1.107,KEGG_ENZYME:4.2.1.75	8	32	10	11	30	8	10	2	8	29	25	26	27	7	10
ID=fig|208479.6.peg.1050;Name=Porphobilinogen deaminase (EC 2.5.1.61);Ontology_term=KEGG_ENZYME:2.5.1.61	4	27	12	0	16	6	8	2	2	32	14	4	24	14	6
ID=fig|208479.6.peg.1051;Name=Siroheme synthase / Precorrin-2 oxidase (EC 1.3.1.76) / Sirohydrochlorin ferrochelatase (EC 4.99.1.4) / Uroporphyrinogen-III methyltransferase (EC 2.1.1.107);Ontology_term=KEGG_ENZYME:1.3.1.76,KEGG_ENZYME:4.99.1.4,KEGG_ENZYME	4	9	6	2	12	4	4	2	0	13	7	10	8	6	2
ID=fig|208479.6.peg.1052;Name=D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4);Ontology_term=KEGG_ENZYME:3.4.16.4	40	76	46	34	94	50	90	22	36	116	58	76	150	22	46
ID=fig|208479.6.peg.1053;Name=Malate permease	0	0	0	0	2	0	0	0	0	0	2	4	2	4	0
ID=fig|208479.6.peg.1054;Name=Gluconate dehydratase (EC 4.2.1.39);Ontology_term=KEGG_ENZYME:4.2.1.39	0	2	2	0	4	8	2	4	0	2	2	4	12	6	2
ID=fig|208479.6.peg.1055;Name=hypothetical protein	0	2	0	0	0	2	0	2	0	4	0	0	2	0	0
ID=fig|208479.6.peg.1056;Name=hypothetical protein	0	2	2	2	8	5	13	2	4	2	2	0	21	8	4
ID=fig|208479.6.peg.1057;Name=diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	20	102	66	30	70	61	91	44	56	100	44	138	69	54	56
ID=fig|208479.6.peg.1058;Name=putative membrane protein	11	29	6	12	14	10	14	10	4	32	16	20	38	12	2
ID=fig|208479.6.peg.1059;Name=hypothetical protein	5	3	2	0	0	0	0	0	0	4	0	0	2	2	2
ID=fig|208479.6.peg.1060;Name=MBL-fold metallo-hydrolase superfamily	8	55	41	10	18	4	24	6	8	49	34	53	31	18	25
ID=fig|208479.6.peg.1061;Name=Radical SAM domain protein	18	58	18	26	34	18	42	12	16	19	28	40	51	36	27
ID=fig|208479.6.peg.1062;Name=Nicotinamide-nucleotide adenylyltransferase%2C NadR family (EC 2.7.7.1) / Ribosylnicotinamide kinase (EC 2.7.1.22);Ontology_term=KEGG_ENZYME:2.7.7.1,KEGG_ENZYME:2.7.1.22	17	21	13	12	29	12	18	16	8	53	23	29	46	12	8
ID=fig|208479.6.peg.1063;Name=hypothetical protein	12	20	10	8	15	6	26	4	8	29	17	22	19	10	4
ID=fig|208479.6.peg.1064;Name=putative membrane protein	10	32	24	8	24	8	22	8	10	28	8	28	41	8	8
ID=fig|208479.6.peg.1065;Name=Ammonium transporter	0	2	0	0	0	1	0	0	2	26	20	20	4	2	0
ID=fig|208479.6.peg.1066;Name=hypothetical protein	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.1067;Name=hypothetical protein	16	17	20	19	22	10	19	9	10	29	21	37	15	20	6
ID=fig|208479.6.peg.1068;Name=hypothetical protein	13	58	48	36	37	25	43	15	24	59	73	119	60	50	26
ID=fig|208479.6.peg.1069;Name=Voltage-gated chloride channel family protein	61	192	112	64	111	93	88	56	49	178	166	287	143	128	65
ID=fig|208479.6.peg.1070;Name=Threonine dehydratase%2C catabolic (EC 4.3.1.19) @ L-serine dehydratase%2C (PLP)-dependent (EC 4.3.1.17);Ontology_term=KEGG_ENZYME:4.3.1.19,KEGG_ENZYME:4.3.1.17	40	98	98	26	75	60	79	24	43	182	134	187	105	58	63
ID=fig|208479.6.peg.1071;Name=Signal recognition particle receptor FtsY	24	46	32	19	33	16	49	14	22	67	62	64	44	36	24
ID=fig|208479.6.peg.1072;Name=Chromosome partition protein smc	18	23	13	6	64	18	48	8	10	50	58	44	64	28	14
ID=fig|208479.6.peg.1073;Name=Ribonuclease III (EC 3.1.26.3);Ontology_term=KEGG_ENZYME:3.1.26.3	4	6	1	4	12	0	3	0	2	22	11	8	14	4	2
ID=fig|208479.6.peg.1074;Name=Acyl carrier protein	70	88	33	15	54	7	61	18	14	112	128	132	125	38	20
ID=fig|208479.6.peg.1075;Name=Phosphate:acyl-ACP acyltransferase PlsX (EC 2.3.1.n2)	131	336	217	76	232	87	184	32	72	374	276	352	354	174	79
ID=fig|208479.6.peg.1076;Name=Sensory box/GGDEF family protein	61	262	171	82	172	191	286	116	178	240	116	234	286	209	204
ID=fig|208479.6.peg.1077;Name=diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	33	149	95	47	100	65	150	60	80	127	46	141	103	103	109
ID=fig|208479.6.peg.1078;Name=diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	23	84	50	36	59	54	76	42	74	70	64	98	80	78	73
ID=fig|208479.6.peg.1079;Name=hypothetical protein	11	0	10	4	4	0	6	2	2	8	10	12	6	10	0
ID=fig|208479.6.peg.1080;Name=hypothetical protein	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.1081;Name=Radical SAM domain protein	10	62	62	39	70	52	108	105	85	37	20	68	81	61	41
ID=fig|208479.6.peg.1082;Name=hypothetical protein formerly called flagellar hook-length control protein FliK	198	508	466	387	338	418	574	319	477	353	334	470	448	631	259
ID=fig|208479.6.peg.1083;Name=N-Acetylneuraminate cytidylyltransferase (EC 2.7.7.43);Ontology_term=KEGG_ENZYME:2.7.7.43	0	0	0	0	0	0	4	2	2	6	2	2	6	0	2
ID=fig|208479.6.peg.1084;Name=Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-);Ontology_term=KEGG_ENZYME:2.3.1.-	0	12	12	12	12	2	8	0	7	6	6	6	8	8	4
ID=fig|208479.6.peg.1085;Name=hypothetical protein	2	8	2	4	4	6	8	8	7	11	2	7	16	12	2
ID=fig|208479.6.peg.1086;Name=Two-component system sensor histidine kinase	16	12	13	2	12	6	15	8	12	12	6	17	14	14	4
ID=fig|208479.6.peg.1087;Name=Phosphate regulon transcriptional regulatory protein PhoB (SphR)	2	8	5	0	4	4	7	2	8	14	3	11	16	6	5
ID=fig|208479.6.peg.1088;Name=hypothetical protein	6	12	8	8	2	10	4	0	0	10	7	14	10	7	3
ID=fig|208479.6.peg.1089;Name=hypothetical protein	38	6	0	2	0	2	4	4	0	10	14	16	30	12	12
ID=fig|208479.6.peg.1090;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ID=fig|208479.6.peg.1091;Name=Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps	0	0	0	2	2	0	6	4	2	0	0	0	0	4	4
ID=fig|208479.6.peg.1092;Name=Xenobiotic acyltransferase XAT family	0	0	0	0	0	0	4	0	0	2	2	0	2	0	0
ID=fig|208479.6.peg.1093;Name=ABC-type antimicrobial peptide transport system%2C ATPase component	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.1094;Name=FIG00514021: hypothetical protein	0	0	2	2	2	0	4	0	0	4	0	0	0	2	0
ID=fig|208479.6.peg.1095;Name=Two-component system sensor histidine kinase	10	19	26	6	20	10	57	4	16	20	14	18	30	25	26
ID=fig|208479.6.peg.1096;Name=Two-component transcriptional response regulator%2C LuxR family	6	9	16	4	6	12	15	2	4	12	8	10	8	15	18
ID=fig|208479.6.peg.1097;Name=Excinuclease ABC subunit A paralog of unknown function	6	30	26	22	32	38	44	30	39	30	12	46	24	46	50
ID=fig|208479.6.peg.1098;Name=hypothetical protein	0	4	0	2	0	0	4	0	2	7	5	2	6	0	6
ID=fig|208479.6.peg.1099;Name=hypothetical protein	2	16	4	8	2	2	11	6	9	6	15	18	18	15	10
ID=fig|208479.6.peg.1100;Name=hypothetical protein	2	4	2	2	2	2	5	2	0	3	6	4	2	1	4
ID=fig|208479.6.peg.1101;Name=hypothetical protein	0	0	2	0	2	0	0	0	2	0	2	2	0	2	0
ID=fig|208479.6.peg.1102;Name=hypothetical protein	0	2	1	0	0	2	2	0	0	0	2	0	0	0	3
ID=fig|208479.6.peg.1103;Name=hypothetical protein	8	8	8	2	4	0	4	2	3	15	11	4	3	8	2
ID=fig|208479.6.peg.1104;Name=hypothetical protein	2	6	1	2	0	0	0	0	3	5	3	4	2	4	0
ID=fig|208479.6.peg.1105;Name=hypothetical protein	2	4	3	2	0	0	2	2	4	6	10	8	4	6	0
ID=fig|208479.6.peg.1106;Name=LSU ribosomal protein L32p @ LSU ribosomal protein L32p%2C zinc-dependent	65	121	67	73	329	61	175	23	77	256	144	117	275	85	85
ID=fig|208479.6.peg.1107;Name=FIG01269488: protein%2C clustered with ribosomal protein L32p	161	288	189	129	902	142	473	87	179	545	465	460	615	191	204
ID=fig|208479.6.peg.1108;Name=hypothetical protein	8	9	1	2	12	5	4	2	10	30	18	11	13	7	3
ID=fig|208479.6.peg.1109;Name=Acetate kinase (EC 2.7.2.1);Ontology_term=KEGG_ENZYME:2.7.2.1	578	856	633	256	631	449	671	400	539	1028	747	1568	743	962	376
ID=fig|208479.6.peg.1110;Name=Phosphate acetyltransferase (EC 2.3.1.8);Ontology_term=KEGG_ENZYME:2.3.1.8	110	381	208	140	250	186	297	186	243	414	435	803	309	346	136
ID=fig|208479.6.peg.1111;Name=protein from nitrogen regulatory protein P-II (GLNB) family%2C ortholog YAAQ B. subtilis	100	56	52	46	38	50	156	52	82	98	100	136	156	106	59
ID=fig|208479.6.peg.1112;Name=Serine protease%2C DegP/HtrA%2C do-like (EC 3.4.21.-);Ontology_term=KEGG_ENZYME:3.4.21.-	4	2	0	0	18	8	20	16	4	8	2	4	6	8	2
ID=fig|208479.6.peg.1113;Name=FIG007079: UPF0348 protein family	26	66	47	38	46	36	62	50	54	58	26	70	74	46	20
ID=fig|208479.6.peg.1114;Name=conserved hypothetical protein	26	82	37	10	50	32	59	28	38	74	61	54	117	38	30
ID=fig|208479.6.peg.1115;Name=5'-methylthioadenosine nucleosidase (EC 3.2.2.16) / S-adenosylhomocysteine nucleosidase (EC 3.2.2.9);Ontology_term=KEGG_ENZYME:3.2.2.16,KEGG_ENZYME:3.2.2.9	4	40	23	14	23	20	19	7	13	55	27	38	36	18	17
ID=fig|208479.6.peg.1116;Name=Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73);Ontology_term=KEGG_ENZYME:3.1.3.73	29	48	24	15	24	17	40	25	26	66	37	42	55	23	14
ID=fig|208479.6.peg.1117;Name=FIG00519347: Ribonucleotide reductase-like protein	41	227	195	110	170	141	229	112	174	216	123	235	212	152	141
ID=fig|208479.6.peg.1118;Name=ACT domain protein	14	34	27	13	21	14	30	23	40	46	24	39	40	25	16
ID=fig|208479.6.peg.1119;Name=Zn-dependent hydrolase YycJ/WalJ%2C required for cell wall metabolism and coordination of cell division with DNA replication	26	64	64	29	65	52	67	34	45	89	57	93	63	59	39
ID=fig|208479.6.peg.1120;Name=Dephospho-CoA kinase (EC 2.7.1.24);Ontology_term=KEGG_ENZYME:2.7.1.24	28	50	46	11	35	37	44	23	31	53	41	72	47	48	26
ID=fig|208479.6.peg.1121;Name=DNA polymerase I (EC 2.7.7.7);Ontology_term=KEGG_ENZYME:2.7.7.7	60	208	135	106	172	139	235	138	145	169	124	292	157	170	105
ID=fig|208479.6.peg.1122;Name=hypothetical protein	20	26	15	6	28	23	25	24	15	28	20	45	27	34	4
ID=fig|208479.6.peg.1123;Name=hypothetical protein	10	14	8	20	28	11	48	38	31	26	14	34	14	26	22
ID=fig|208479.6.peg.1124;Name=hypothetical protein	19	60	30	18	32	62	41	18	46	24	22	52	79	56	66
ID=fig|208479.6.peg.1125;Name=hypothetical protein	6	30	40	20	28	24	32	18	4	42	18	39	49	12	31
ID=fig|208479.6.peg.1126;Name=Oxidoreductase YdhF	15	48	40	14	42	18	44	22	31	46	34	57	75	46	14
ID=fig|208479.6.peg.1127;Name=DNA polymerase I (EC 2.7.7.7);Ontology_term=KEGG_ENZYME:2.7.7.7	7	25	6	7	46	18	29	14	21	35	41	20	27	13	8
ID=fig|208479.6.peg.1128;Name=hypothetical protein	1	1	14	3	10	8	3	2	0	3	3	5	11	4	4
ID=fig|208479.6.peg.1129;Name=O-acetyl-ADP-ribose deacetylase	8	14	6	9	20	4	32	6	11	13	8	17	37	7	12
ID=fig|208479.6.peg.1130;Name=hypothetical protein	11	4	12	9	14	2	6	0	5	17	10	31	21	16	4
ID=fig|208479.6.peg.1131;Name=hypothetical protein	2	1	2	4	4	2	0	2	0	2	4	0	8	0	4
ID=fig|208479.6.peg.1132;Name=hypothetical protein	0	3	0	0	2	2	0	0	0	2	2	2	0	0	4
ID=fig|208479.6.peg.1133;Name=hypothetical protein	12	70	68	41	93	58	103	69	65	102	42	41	128	40	65
ID=fig|208479.6.peg.1134;Name=Uracil phosphoribosyltransferase (EC 2.4.2.9);Ontology_term=KEGG_ENZYME:2.4.2.9	38	146	122	61	165	101	244	85	89	214	148	215	191	120	159
ID=fig|208479.6.peg.1135;Name=Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157);Ontology_term=KEGG_ENZYME:2.3.1.157	36	74	61	50	145	51	125	42	43	159	87	128	173	64	58
ID=fig|208479.6.peg.1136;Name=DNA topoisomerase III (EC 5.99.1.2);Ontology_term=KEGG_ENZYME:5.99.1.2	38	45	35	13	63	19	33	10	14	97	39	58	129	24	28
ID=fig|208479.6.peg.1137;Name=hypothetical protein	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0
ID=fig|208479.6.peg.1138;Name=hypothetical protein	84	85	84	80	94	101	87	46	51	111	89	117	123	156	57
ID=fig|208479.6.peg.1139;Name=Aldose 1-epimerase (EC 5.1.3.3);Ontology_term=KEGG_ENZYME:5.1.3.3	64	189	112	36	84	57	73	42	29	254	134	147	187	110	47
ID=fig|208479.6.peg.1140;Name=Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11);Ontology_term=KEGG_ENZYME:1.2.1.11	11	101	46	22	39	18	38	18	16	163	61	101	104	36	26
ID=fig|208479.6.peg.1141;Name=Purine nucleoside phosphorylase (EC 2.4.2.1);Ontology_term=KEGG_ENZYME:2.4.2.1	25	78	42	9	25	8	20	6	4	43	35	40	37	57	16
ID=fig|208479.6.peg.1142;Name=Topoisomerase IV subunit A (EC 5.99.1.-);Ontology_term=KEGG_ENZYME:5.99.1.-	22	76	52	18	66	30	54	24	10	90	73	60	59	24	26
ID=fig|208479.6.peg.1143;Name=Topoisomerase IV subunit B (EC 5.99.1.-);Ontology_term=KEGG_ENZYME:5.99.1.-	20	51	24	12	34	26	56	14	18	60	42	62	46	20	12
ID=fig|208479.6.peg.1144;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.1145;Name=ABC transporter%2C ATP-binding protein (cluster 3%2C basic aa/glutamine/opines)	0	6	5	4	8	0	20	0	2	8	4	4	16	4	2
ID=fig|208479.6.peg.1146;Name=ABC transporter%2C permease protein (cluster 3%2C basic aa/glutamine/opines)	4	2	5	6	10	0	2	2	0	4	2	4	10	8	2
ID=fig|208479.6.peg.1147;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.1148;Name=Glutamine ABC transporter%2C permease protein GlnP	16	8	16	6	14	12	38	6	10	82	32	72	42	22	4
ID=fig|208479.6.peg.1149;Name=Fructose-1%2C6-bisphosphatase%2C Bacillus type (EC 3.1.3.11);Ontology_term=KEGG_ENZYME:3.1.3.11	56	193	144	52	85	64	122	40	88	185	151	164	121	115	57
