Superclass	Class	Subclass	Subsystem.Name	Role.ID	Role.Name	Active	Gene	Product	Organism
METABOLISM	Carbohydrates	Di- and oligosaccharides	Galactose utilization	Aldose_1-epimerase_(EC_5.1.3.3)	Aldose 1-epimerase (EC 5.1.3.3)	active	fig|671267.8.peg.1472	Aldose 1-epimerase (EC 5.1.3.3)	BS
METABOLISM	Carbohydrates	Di- and oligosaccharides	Galactose utilization	Sodium/sugar_cotransporter	Sodium/sugar cotransporter	active	fig|671267.8.peg.1473	Sodium/sugar cotransporter	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1474	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1475	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1476	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1477	NA	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Pentose phosphate pathway	Transketolase_(EC_2.2.1.1)	Transketolase (EC 2.2.1.1)	active	fig|671267.8.peg.1478	Transketolase (EC 2.2.1.1)	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Pentose phosphate pathway	Ribose-5-phosphate_isomerase_B_(EC_5.3.1.6)	Ribose-5-phosphate isomerase B (EC 5.3.1.6)	active	fig|671267.8.peg.1479	Ribose-5-phosphate isomerase B (EC 5.3.1.6)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1480	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1481	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1482	NA	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	2-ketoacid oxidoreductases disambiguation	2-oxoglutarate/2-oxoacid_ferredoxin_oxidoreductase,_delta_subunit,_ferredoxin-like_4Fe-4S_binding_protein_(EC_1.2.7.-)	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, delta subunit, ferredoxin-like 4Fe-4S binding protein (EC 1.2.7.-)	active	fig|671267.8.peg.1483	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, delta subunit, ferredoxin-like 4Fe-4S binding protein (EC 1.2.7.-)	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Branched-chain amino acids and alpha-keto acids utilization as energy sources	2-oxoglutarate/2-oxoacid_ferredoxin_oxidoreductase,_delta_subunit,_ferredoxin-like_4Fe-4S_binding_protein_(EC_1.2.7.-)	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, delta subunit, ferredoxin-like 4Fe-4S binding protein (EC 1.2.7.-)	active	fig|671267.8.peg.1483	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, delta subunit, ferredoxin-like 4Fe-4S binding protein (EC 1.2.7.-)	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	2-ketoacid oxidoreductases disambiguation	2-oxoglutarate/2-oxoacid_ferredoxin_oxidoreductase,_alpha_subunit_(EC_1.2.7.-)	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.-)	active	fig|671267.8.peg.1484	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.-)	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Branched-chain amino acids and alpha-keto acids utilization as energy sources	2-oxoglutarate/2-oxoacid_ferredoxin_oxidoreductase,_alpha_subunit_(EC_1.2.7.-)	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.-)	active	fig|671267.8.peg.1484	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.-)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1485	NA	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	2-ketoacid oxidoreductases disambiguation	2-oxoglutarate/2-oxoacid_ferredoxin_oxidoreductase,_beta_subunit_(EC_1.2.7.-)	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit (EC 1.2.7.-)	active	fig|671267.8.peg.1486	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit (EC 1.2.7.-)	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Branched-chain amino acids and alpha-keto acids utilization as energy sources	2-oxoglutarate/2-oxoacid_ferredoxin_oxidoreductase,_beta_subunit_(EC_1.2.7.-)	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit (EC 1.2.7.-)	active	fig|671267.8.peg.1486	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit (EC 1.2.7.-)	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	2-ketoacid oxidoreductases disambiguation	2-oxoglutarate/2-oxoacid_ferredoxin_oxidoreductase,_gamma_subunit_(EC_1.2.7.-)	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.-)	active	fig|671267.8.peg.1487	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.-)	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Branched-chain amino acids and alpha-keto acids utilization as energy sources	2-oxoglutarate/2-oxoacid_ferredoxin_oxidoreductase,_gamma_subunit_(EC_1.2.7.-)	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.-)	active	fig|671267.8.peg.1487	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.-)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1488	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1489	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1490	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1491	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1492	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1493	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1494	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1495	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1496	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1497	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1498	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1499	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1500	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1501	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1502	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1503	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1504	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1505	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1506	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1507	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1508	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1509	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1510	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1511	NA	BS
STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Stress Response: Heat/cold shock	Heat shock dnaK gene cluster extended	Ribosomal_protein_L11_methyltransferase	Ribosomal protein L11 methyltransferase	active	fig|671267.8.peg.1512	Ribosomal protein L11 methyltransferase	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1513	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1514	NA	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Glycolysis and Gluconeogenesis	Pyrophosphate-dependent_fructose_6-phosphate-1-kinase_(EC_2.7.1.90)	Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)	active	fig|671267.8.peg.1515	Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1516	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1517	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1518	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1519	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1520	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1521	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1522	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1523	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1524	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.49	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1525	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.50	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1526	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1527	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1528	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1529	NA	BS
METABOLISM	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic amino acid interconversions with aryl acids	Amino_acid-binding_ACT	Amino acid-binding ACT	active	fig|671267.8.peg.1530	Amino acid-binding ACT	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1531	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1532	NA	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	2-ketoacid oxidoreductases disambiguation	Indolepyruvate_oxidoreductase_subunit_IorB_(EC_1.2.7.8)	Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)	active	fig|671267.8.peg.1533	Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)	BS
METABOLISM	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic amino acid interconversions with aryl acids	Indolepyruvate_oxidoreductase_subunit_IorB_(EC_1.2.7.8)	Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)	active	fig|671267.8.peg.1533	Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)	BS
METABOLISM	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Indole-pyruvate oxidoreductase complex	Indolepyruvate_oxidoreductase_subunit_IorB_(EC_1.2.7.8)	Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)	active	fig|671267.8.peg.1533	Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	2-ketoacid oxidoreductases disambiguation	Indolepyruvate_oxidoreductase_subunit_IorA_(EC_1.2.7.8)	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	active	fig|671267.8.peg.1534	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	BS
METABOLISM	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic amino acid interconversions with aryl acids	Indolepyruvate_oxidoreductase_subunit_IorA_(EC_1.2.7.8)	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	active	fig|671267.8.peg.1534	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	BS
METABOLISM	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Indole-pyruvate oxidoreductase complex	Indolepyruvate_oxidoreductase_subunit_IorA_(EC_1.2.7.8)	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	active	fig|671267.8.peg.1534	Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1535	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1536	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1537	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.51	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1538	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1539	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1540	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1541	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1542	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1543	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1544	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1545	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1546	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1547	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1548	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1549	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1550	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1551	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1552	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1553	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1554	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1555	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1556	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1557	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1558	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1559	NA	BS
CELL ENVELOPE	Cell Envelope, Capsule and Slime layer	Gram-Negative (Diderm) cell wall components	Bacteroides capsular polysaccharide transcription antitermination proteins	Capsular_polysaccharide_transcription_antitermination_protein,_UpxY_family	Capsular polysaccharide transcription antitermination protein, UpxY family	active	fig|671267.8.peg.1560	Capsular polysaccharide transcription antitermination protein, UpxY family	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1561	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1562	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1563	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1564	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1565	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1566	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1567	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1568	NA	BS
STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Resistance to antibiotics and toxic compounds	Copper homeostasis: copper tolerance	Copper_homeostasis_protein_CutF_precursor	Copper homeostasis protein CutF precursor	active	fig|671267.8.peg.1569	Copper homeostasis protein CutF precursor / Lipoprotein NlpE involeved in surface adhesion	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1570	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1571	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1572	NA	BS
METABOLISM	Nucleosides and Nucleotides	Pyrimidines	De Novo Pyrimidine Synthesis	Dihydroorotase_(EC_3.5.2.3)	Dihydroorotase (EC 3.5.2.3)	active	fig|671267.8.peg.1573	Dihydroorotase (EC 3.5.2.3)	BS
METABOLISM	Carbohydrates	C-1 compound metabolism	S-Adenosyl-L-homocysteine recycling	5-methyltetrahydrofolate--homocysteine_methyltransferase_(EC_2.1.1.13)	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	active	fig|671267.8.peg.1574	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1575	NA	BS
CELLULAR PROCESSES	Cell Cycle, Cell Division and Death	FtsEX cell-division-associated signaling system	FtsEX cell-division-associated signaling system	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate_acyltransferase_(EC_2.3.1.51)	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	active	fig|671267.8.peg.1576	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1577	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1578	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1579	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1580	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1581	NA	BS
DNA PROCESSING	DNA Processing	DNA uptake, competence	DNA processing cluster	DNA_polymerase_III_subunits_gamma_and_tau_(EC_2.7.7.7)	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	likely	fig|671267.8.peg.1582	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1583	NA	BS
METABOLISM	Carbohydrates	Di- and oligosaccharides	Galactose utilization	alpha-galactosidase_(EC_3.2.1.22)	alpha-galactosidase (EC 3.2.1.22)	active	fig|671267.8.peg.1584	alpha-galactosidase (EC 3.2.1.22)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1585	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1586	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1587	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1588	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1589	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1590	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1591	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1592	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1593	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1594	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1595	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1596	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1597	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1598	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1599	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1600	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1601	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1602	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1603	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1604	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1605	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1606	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1607	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1608	NA	BS
METABOLISM	Cofactors, Vitamins, Prosthetic Groups	Folate and pterines	Folate Biosynthesis	Dihydrofolate_reductase_(EC_1.5.1.3)	Dihydrofolate reductase (EC 1.5.1.3)	active	fig|671267.8.peg.1609	Dihydrofolate reductase (EC 1.5.1.3)	BS
STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Resistance to antibiotics and toxic compounds	Antibiotic targets in metabolic pathways	Dihydrofolate_reductase_(EC_1.5.1.3)	Dihydrofolate reductase (EC 1.5.1.3)	active	fig|671267.8.peg.1609	Dihydrofolate reductase (EC 1.5.1.3)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1610	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1611	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.52	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1612	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1613	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.53	NA	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Putative_mobilization_protein_BF0133	Putative mobilization protein BF0133	active	fig|671267.8.peg.1614	Putative mobilization protein BF0133	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Putative_conjugative_transposon_mobilization_protein_BF0132	Putative conjugative transposon mobilization protein BF0132	active	fig|671267.8.peg.1615	Putative conjugative transposon mobilization protein BF0132	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	hypothetical_protein_clusted_with_conjugative_transposons,_BF0131	hypothetical protein clusted with conjugative transposons, BF0131	active	fig|671267.8.peg.1616	hypothetical protein clusted with conjugative transposons, BF0131	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1617	NA	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraA	Conjugative transposon protein TraA	active	fig|671267.8.peg.1618	Conjugative transposon protein TraA	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraB	Conjugative transposon protein TraB	active	fig|671267.8.peg.1619	Conjugative transposon protein TraB	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraD	Conjugative transposon protein TraD	active	fig|671267.8.peg.1620	Conjugative transposon protein TraD	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraE	Conjugative transposon protein TraE	active	fig|671267.8.peg.1621	Conjugative transposon protein TraE	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraF	Conjugative transposon protein TraF	active	fig|671267.8.peg.1622	Conjugative transposon protein TraF	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraG	Conjugative transposon protein TraG	active	fig|671267.8.peg.1623	Conjugative transposon protein TraG	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraI	Conjugative transposon protein TraI	active	fig|671267.8.peg.1624	Conjugative transposon protein TraI	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraJ	Conjugative transposon protein TraJ	active	fig|671267.8.peg.1625	Conjugative transposon protein TraJ	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraK	Conjugative transposon protein TraK	active	fig|671267.8.peg.1626	Conjugative transposon protein TraK	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraL	Conjugative transposon protein TraL	active	fig|671267.8.peg.1627	Conjugative transposon protein TraL	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraM	Conjugative transposon protein TraM	active	fig|671267.8.peg.1628	Conjugative transposon protein TraM	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraN	Conjugative transposon protein TraN	active	fig|671267.8.peg.1629	Conjugative transposon protein TraN	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraO	Conjugative transposon protein TraO	active	fig|671267.8.peg.1630	Conjugative transposon protein TraO	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1631	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.54	NA	BS
MISCELLANEOUS	Prophages, Transposable elements, Plasmids	Transposable elements	Conjugative transposon, Bacteroidales	Conjugative_transposon_protein_TraQ	Conjugative transposon protein TraQ	active	fig|671267.8.peg.1632	Conjugative transposon protein TraQ	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1633	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.55	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1634	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1635	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1636	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1637	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1638	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.56	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.rna.32	NA	BS
RNA PROCESSING	RNA Processing	RNA processing and modification	Queuosine and archaeosine	NADPH-dependent_7-cyano-7-deazaguanine_reductase_(EC_1.7.1.13)	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13)	active	fig|671267.8.peg.1639	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13)	BS
RNA PROCESSING	RNA Processing	RNA processing and modification	Queuosine and archaeosine	7-cyano-7-deazaguanine_synthase_(EC_6.3.4.20)	7-cyano-7-deazaguanine synthase (EC 6.3.4.20)	active	fig|671267.8.peg.1640	7-cyano-7-deazaguanine synthase (EC 6.3.4.20)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1641	NA	BS
DNA PROCESSING	DNA Processing	DNA repair	DNA Repair Base Excision	Endonuclease_III_(EC_4.2.99.18)	Endonuclease III (EC 4.2.99.18)	active	fig|671267.8.peg.1642	Endonuclease III (EC 4.2.99.18)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1643	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1644	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.1645	NA	BS
PROTEIN PROCESSING	Protein Synthesis	Aminoacyl-tRNA-synthetases	tRNA aminoacylation, Phe	Phenylalanyl-tRNA_synthetase_alpha_chain_(EC_6.1.1.20)	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	active	fig|671267.8.peg.1646	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	BS
